paper_id,paper_title,cell_type,mode,model,experimental_stimulus,neural_activity,behavioral_consequence,ecological_context,techniques_used,summary
e2d98764ec3c03410654573f95383d8caedaa021,Afterimages drive a shared visual motion-reversal illusion in Drosophila,neurons upstream of T4/T5,experimental,qwen3.5:35b,phase-shifted gratings interleaved with uniform frames; interleave luminance (dark vs light),show signatures of an afterimage; emergence depends on interleave luminance,,,['imaging'],"Imaging neurons upstream of T4/T5 shows signatures of an afterimage, whose emergence depends on interleave luminance."
4636ca6b9e2fe40c86e9fd82b913a71cf54ef6f5,Cross-species evidence for a developmental origin of adult hypersomnia with loss of synaptic adhesion molecules beat-Ia/CADM2,Neuropeptide F (NPF) cells,experimental,qwen3.5:35b,Developmental knockdown or overexpression of beat-Ia using NPF-GAL4 driver,Knockdown reduces presynaptic synaptic density (Syt-EGFP puncta) specifically in the suboesophageal zone (SEZ); Overexpression increases presynaptic sites across brain regions including SEZ,"Knockdown increases total sleep duration, daytime/nighttime sleep, and proportion of long sleep bouts (>60 min); Overexpression decreases total and daytime sleep and reduces long sleep bouts",,"['UAS-GAL4 RNAi', 'UAS-GAL4 Overexpression', 'Drosophila Activity Monitoring (DAM)', 'Confocal Microscopy (CD8::GFP, Syt-EGFP)']","Developmental knockdown of beat-Ia in NPF cells disrupts synaptic elaboration in the SEZ and causes excessive sleep, while overexpression increases synapses and reduces sleep."
4636ca6b9e2fe40c86e9fd82b913a71cf54ef6f5,Cross-species evidence for a developmental origin of adult hypersomnia with loss of synaptic adhesion molecules beat-Ia/CADM2,SEZ GABAergic neurons (R10G06-GAL4 labeled),experimental,qwen3.5:35b,"Optogenetic activation (TrpA1), inhibition (Kir2.1), and NPFR knockdown",Identified via FlyWire connectome analysis as receiving input from descending NPF neurons in the SEZ; predicted to be GABAergic based on machine learning analysis of electron microscopy,Activation reduces sleep; Inhibition increases sleep; NPFR knockdown increases sleep duration and long sleep bouts,,"['FlyWire Connectome Analysis', 'Optogenetics (TrpA1/Kir2.1)', 'NPFR RNAi', 'Drosophila Activity Monitoring (DAM)']",R10G06-labeled SEZ neurons receive NPF input and promote wakefulness when activated; inhibiting these cells or blocking NPF signaling increases sleep.
4636ca6b9e2fe40c86e9fd82b913a71cf54ef6f5,Cross-species evidence for a developmental origin of adult hypersomnia with loss of synaptic adhesion molecules beat-Ia/CADM2,Motor Neurons,experimental,qwen3.5:35b,"Knockdown of beat-Ia using OK6-GAL4, OK371-GAL4, and D42-GAL4 drivers",,No increase in sleep duration compared to controls,,"['UAS-GAL4 RNAi', 'Drosophila Activity Monitoring (DAM)']","Knockdown of beat-Ia in motor neurons does not affect sleep duration, indicating the sleep phenotype is not due to motor neuron dysfunction."
d53bd2a0f1e74dca084f7cc415d6a4f15de9109e,A pair of interneurons that confer positive real-time valence to sweet sensation in Drosophila.,Fox neurons (SEZ interneurons),experimental,qwen3.5:35b,"Optogenetic activation (CsChrimson) or silencing (Kir2.1, A1ACR); input from optogenetically stimulated Gr64f-expressing sweet GRNs",Robust calcium responses in Fox projections following Gr64f stimulation; optogenetic activation drives activity sufficient to override intrinsic taste valence,"Activation drives positional preference, proboscis extension reflex (PER), and increased food/water consumption; silencing impairs appetitive responses to sweet-GRN activation without abolishing baseline feeding; necessary for appetitive olfactory learning induced by natural sugar or sweet-GRN activation","Guides behaviors such as approach or avoidance, learning, and decision-making; crucial for survival; supports learned sugar responses; may be engaged under natural conditions when sweet input surpasses a threshold and internal state permits","['optogenetics', 'positional preference assay', 'OptoPAD (feeding)', 'PER assay', 'associative learning assay', 'two-photon calcium imaging']","Fox neurons are a pair of SEZ interneurons that assign positive real-time valence to sweet sensation, drive appetitive behaviors, and are necessary for appetitive learning, acting as a bottleneck transforming sweet sensation into reinforcing signals."
d53bd2a0f1e74dca084f7cc415d6a4f15de9109e,A pair of interneurons that confer positive real-time valence to sweet sensation in Drosophila.,Gr64f-expressing sweet GRNs,experimental,qwen3.5:35b,Optogenetic activation (CsChrimson),Activation leads to significant calcium responses in Fox neurons,Increased food consumption and drives appetitive learning (dependent on Fox neurons),Primary gustatory receptor neurons that project to the SEZ; sweet taste typically signals energy-rich nutrients and elicits attraction,"['optogenetics', 'two-photon calcium imaging', 'behavioral assays']",Gr64f-expressing sweet GRNs activate Fox neurons upon stimulation and drive increased food consumption and appetitive learning downstream of Fox.
d53bd2a0f1e74dca084f7cc415d6a4f15de9109e,A pair of interneurons that confer positive real-time valence to sweet sensation in Drosophila.,PAM dopaminergic neurons (PAM-DANs),experimental,qwen3.5:35b,Optogenetic activation of Fox neurons; optogenetic silencing (A1ACR) of PAM-DANs,"Calcium activation in MB compartments γ4, γ5, β2, and β′2 upon Fox stimulation",Required for Fox-driven appetitive learning (blocking PAM-DANs abolishes learning) but not for Fox-driven feeding increases,Center for associative learning; innervated by dopaminergic neurons that mediate appetitive reinforcement,"['two-photon calcium imaging', 'optogenetics', 'associative learning assay']",PAM-DANs receive input from Fox neurons and are required for appetitive learning but not for Fox-driven feeding behaviors.
d53bd2a0f1e74dca084f7cc415d6a4f15de9109e,A pair of interneurons that confer positive real-time valence to sweet sensation in Drosophila.,CB0233 neurons (FDA-II),experimental,qwen3.5:35b,Optogenetic activation (CsChrimson) and silencing (Kir2.1),Connectome simulation shows silencing blocks PAM-DAN response to GRN stimulation,Activation alone does not enhance feeding or generate appetitive memory; silencing abolishes Gr64f-induced feeding increase and learning,Major postsynaptic target of Fox that relays positive valence toward the learning center,"['optogenetics', 'behavioral assays', 'connectome simulation']",CB0233 neurons are downstream targets of Fox neurons that relay positive valence to the learning center; they are necessary for GRN-dependent feeding and learning but activation alone is insufficient.
d53bd2a0f1e74dca084f7cc415d6a4f15de9109e,A pair of interneurons that confer positive real-time valence to sweet sensation in Drosophila.,Fdg neurons (Feeding command neurons),experimental,qwen3.5:35b,Optogenetic activation (CsChrimson),Accounts for 10% of synaptic inputs to Fox neurons,Increases food and water consumption and induces positional preference; does not generate appetitive olfactory learning when paired with odor,Third-order gustatory interneuron that regulates feeding behavior,"['optogenetics', 'behavioral assays']","Fdg neurons regulate feeding behavior and positional preference but lack the capacity to drive appetitive learning, distinguishing them from Fox neurons."
a1dac9aca4e73df87b83c35811c54497be51d7ce,Connectomic mapping of pharyngeal and gut sensory circuits in adult Drosophila,Internal sensory neurons (stomodeal nerve and pharyngeal sense organs),experimental,qwen3.5:35b,,,,,"['FAFB connectome mapping', 'Connectomic mapping']",Identified multiple types of sensory axons in the stomodeal nerve and pharyngeal sense organs with distinct morphology; mapped downstream circuits revealing monosynaptic connections to motor neurons and endocrine cells.
2fcbb9596b4aade977db8098b61303cb5a5bd988,High-throughput tracking of freely moving Drosophila reveals variations in aggression and courtship behaviors,pC1 neurons (doublesex+ cholinergic neurons labeled by R26E01-GAL4),experimental,qwen3.5:35b,Thermogenetic activation via TRPA1 at 30°C,Neurons thermogenetically activated; no baseline neural activity recorded,Significantly elevated female aggression (head butts) in female-female pairs; no significant effect on male aggression (lunges) or courtship (UWEs) in male-male pairs,"Aggression is used to secure food, territory, and mates; sex-specific interaction patterns reflect evolutionary strategies for resource access","['TRPA1 thermogenetics', 'Kestrel high-throughput imaging', 'DeepLabCut pose estimation', 'Manual behavioral scoring']",Thermogenetic activation of R26E01-labeled pC1 neurons replicates a known phenotype of heightened female aggression (head butts) without affecting male aggression or courtship behaviors.
2fcbb9596b4aade977db8098b61303cb5a5bd988,High-throughput tracking of freely moving Drosophila reveals variations in aggression and courtship behaviors,"R72A10-GAL4 labeled neurons (~40-45 central brain neurons, ~10-15 at AL-SOG junction)",experimental,qwen3.5:35b,Thermogenetic activation via TRPA1 at 30°C,Neurons thermogenetically activated; no baseline neural activity recorded,"Robust increase in unilateral wing extensions (UWEs, courtship) in male-male pairs; no effect on male aggression (lunges) or female aggression (head butts)",Courtship behaviors like UWEs (courtship song) attract mates; courtship is reciprocal to aggression in securing mating partners,"['TRPA1 thermogenetics', 'Kestrel high-throughput imaging', 'DeepLabCut pose estimation', 'Immunostaining (mCD8::GFP, anti-Tdc2, anti-NC82)', 'NeuronBridge/connectomics analysis']",Activation of R72A10-labeled neurons induces enhanced male courtship (UWEs) without affecting aggression; neurons are non-octopaminergic with a cluster at the AL-SOG junction projecting to SLP and AB.
b6e0b082eb2917f1a7a57442704fec25969de03c,The Drosophila escape motor circuit shows differential vulnerability to aging linked to functional decay,LC4 (Lobular Columnar type 4) visual projection neuron,experimental,qwen3.5:35b,"Light-off visual stimuli (20 ms duration), optogenetic activation via red-light flashes (CsChrimson)",Electrophysiological recordings show Long Latency Response (LLR) generation dependent on LC4 to GF synaptic transmission. Immunohistochemistry reveals significant decrease in presynaptic active zone marker (BRP.S) density in old non-responders. Optogenetic activation shows decreasing response probability with age.,"Optogenetic activation induces escape behavior (jump + flight) in young flies, but probability declines drastically with age (nearly zero in >60 days). Synaptic transmission loss correlates with behavioral loss. Required for habituation of escape response (Shaker RNAi in LC4 abolishes habituation). Also vulnerable to starvation and oxidative stress.",Escape from potentially life-threatening visual stimuli (predator-like looming or light-off).,"['Electrophysiology (LLR/SLR)', 'Optogenetics (CsChrimson)', 'Immunohistochemistry (BRP.S)', 'RNAi knockdown (Shaker)']","LC4 neurons mediate visually induced escape and habituation. Their synaptic transmission to the Giant Fiber decays with age, stress, and starvation, correlating with loss of escape behavior."
b6e0b082eb2917f1a7a57442704fec25969de03c,The Drosophila escape motor circuit shows differential vulnerability to aging linked to functional decay,LPLC2 (Lobular Plate/Lobular Columnar type 2) visual projection neuron,experimental,qwen3.5:35b,"Light-off visual stimuli, optogenetic activation via red-light flashes (CsChrimson)",Synaptic transmission to Giant Fiber remains robust to aging. Presynaptic active zone marker (BRP.S) intensity increases with age but does not decrease in old non-responders.,"Optogenetic activation reliably induces escape behavior (>80% probability) independent of age, including in old flies that have lost visually induced escape behavior.",Escape from potentially life-threatening visual stimuli (predator-like looming or light-off).,"['Optogenetics (CsChrimson)', 'Immunohistochemistry (BRP.S)']","LPLC2 neurons relay visual information to the Giant Fiber for escape. This circuit component is resilient to aging, stress, and starvation compared to LC4."
b6e0b082eb2917f1a7a57442704fec25969de03c,The Drosophila escape motor circuit shows differential vulnerability to aging linked to functional decay,Giant Fiber (GF) descending neuron,experimental,qwen3.5:35b,"Direct electrical stimulation, optogenetic activation via red-light flashes (CsChrimson)","Action potential propagation measured as Short Latency Response (SLR) in DLM fibers. Dendritic total length stable, branch number decreases but not linked to functional decline. Postsynaptic markers (Dα7nAChR, Drep2) stable in old non-responders.","Direct or optogenetic activation induces escape behavior (jump + flight) reliably at all ages, even in flies that no longer respond to visual stimuli. Downstream circuit function remains intact.",Fast initiation of escape response (jump followed by flight) to life-threatening stimuli.,"['Electrophysiology (SLR/LLR)', 'Optogenetics (CsChrimson)', 'Confocal Microscopy (Dendritic structure)', 'Immunohistochemistry (Drep2, Dα7nAChR)']","The Giant Fiber neuron initiates the escape motor command. While dendritic structure changes slightly with age, signal transmission and behavioral output via GF activation remain functional even in old non-responding flies."
b6e0b082eb2917f1a7a57442704fec25969de03c,The Drosophila escape motor circuit shows differential vulnerability to aging linked to functional decay,Photoreceptors (R1-R6) and Lamina Interneurons,experimental,qwen3.5:35b,Light-off visual stimuli (20 ms duration),Electroretinogram (ERG) recordings show receptor potential (RP) and lamina on/off transients. Amplitudes similar between young responders and old non-responders (except slight RP increase in old).,Visual input function remains intact in old flies despite loss of escape behavior. Decline in escape is not caused by phototransduction or first-order synaptic transmission failure.,Detection of light-off stimuli that signal potential threats.,['Electroretinogram (ERG)'],"Primary visual input neurons function normally in aging flies, indicating the behavioral deficit arises downstream in the central brain circuit."
b6e0b082eb2917f1a7a57442704fec25969de03c,The Drosophila escape motor circuit shows differential vulnerability to aging linked to functional decay,"Motoneurons (TTM Mn, DLM Mn)",experimental,qwen3.5:35b,"Direct electrical stimulation, Giant Fiber stimulation",Extracellular EMG recordings from DLM fibers and TTM show reliable muscle fiber firing. Direct stimulation of motoneurons is highly reliable up to 300 Hz.,"Motor output for jumping (TTM) and flight (DLM) remains functional throughout adult life, including in old non-responders.",Execution of jump and flight motor patterns during escape.,['Electrophysiology (EMG)'],"Motoneurons and neuromuscular synapses are robust to aging and stress, maintaining the capacity for motor execution even when central processing fails."
b6e0b082eb2917f1a7a57442704fec25969de03c,The Drosophila escape motor circuit shows differential vulnerability to aging linked to functional decay,Peripherally Synapsing Interneuron (PSI),experimental,qwen3.5:35b,"Genetic ablation (UAS-hid), Electrical stimulation of GF",SLR readout in DLM fibers. Ablation eliminates SLR in DLM in ~75% of animals.,Confirms PSI role in transmitting signal from GF to DLM motoneurons for flight. Component remains functionally resilient to aging as SLR persists in old flies.,Integration of jump and flight commands for coordinated escape behavior.,"['Electrophysiology (SLR)', 'Genetic Ablation (UAS-hid)']","The PSI is a critical relay between the Giant Fiber and flight motoneurons. It is functionally robust to aging, unlike the LC4 to GF synapse."
682307206b14c60a149744be42d6333e42ad4b00,Differential modulation of feedforward inhibition reflects topographic organization in the olfactory system,Ventral Projection Neurons (v-PNs),experimental,qwen3.5:35b,"Odors (Benzaldehyde, Farnesol, 1-Octen-3-ol, 1-Hexanol, Apple Cider Vinegar, Orange Peel, Acetic Acid, Acetophenone); Endogenous 5-HT release via optogenetic activation of CSDns; Pharmacological application of 5-HT, 5-HT1A/1B agonist (Ipsapirone), 5-HT7 agonist (AS-19); 5-HT receptor RNAi knockdown.","2-photon Ca2+ imaging in Antennal Lobe (AL) and Lateral Horn (LH). v-PNs exhibit heterogeneous serotonin receptor expression (all five 5-HT receptors, 1A, 1B, 2A, 2B, 7) with extensive co-expression. v-PNs expressing different receptors innervate distinct LH zones (e.g., 5-HT1A: ventral/medial; 5-HT7: dorsal/medial). Modulation is subset-specific: R24H08 v-PNs (express 5-HT1A/1B) show significant response reduction in AL with 5-HT1A/1B agonists but non-significant reduction with endogenous 5-HT in LH. R86G06 v-PNs (express 5-HT7) show significant response enhancement in LH with 5-HT and 5-HT7 agonists. Connectomic analysis shows v-PNs with different receptor profiles synapse on separate third-order LH neurons.","None reported in this study. Discussion notes v-PNs are implicated in odor discrimination, valence coding, and habituation based on prior literature.","R24H08 v-PNs innervate glomeruli (DC3, VL2a) responding to plant-derived odors associated with reproductive success and project to ventral LH (pheromone processing). Benzaldehyde is repellent to flies. 1-Octen-3-ol is a fungal semiochemical. v-PNs modulate distinct components of odor representations.","['2-photon Ca2+ imaging', 'Optogenetics', 'Pharmacology', 'RNAi', 'Hybridization Chain Reaction (HCR)', 'Multi-color Flip-Out (MCFO)', 'Photoactivatable GFP (PA-GFP)', 'Connectomics (Hemibrain)']","Ventral Projection Neurons (v-PNs) express heterogeneous serotonin receptor combinations and project to distinct Lateral Horn zones. Serotonin differentially modulates v-PN subsets (R24H08 vs R86G06) with distinct downstream targets, allowing nuanced regulation of specific odor scenes rather than uniform population modulation."
682307206b14c60a149744be42d6333e42ad4b00,Differential modulation of feedforward inhibition reflects topographic organization in the olfactory system,Contralaterally-projecting Serotonergic Deutocerebral Neurons (CSDns),experimental,qwen3.5:35b,Optogenetic activation (Red LED).,Release endogenous serotonin in the Antennal Lobe and Lateral Horn. Activation significantly enhances odor-evoked Ca2+ responses in R86G06 v-PNs (5-HT7 expressing) and causes slight non-significant reduction in R24H08 v-PN responses in the LH.,None reported in this study.,Sole synaptic source of serotonin within the Antennal Lobe and Lateral Horn. Interact with principal neuron classes to impact olfactory processing and behavior.,"['Optogenetics', '2-photon Ca2+ imaging']","CSDns release serotonin that differentially modulates v-PN subsets (enhancing 5-HT7 expressing R86G06 v-PNs and suppressing 5-HT1A/1B expressing R24H08 v-PNs), enabling context-dependent regulation of olfactory processing."
0f3380db5f3d5af79db860ef5d43c541285a444d,Differential dopaminergic modulation of the antennal lobe of Drosophila melanogaster,Olfactory Receptor Neurons (ORNs),experimental,qwen3.5:35b,"Dopamine (1 mM), Forskolin (40 µM), Nicotine (100 µM), Odors (Isoamyl-acetate, 3-Octanol, 4-methylcyclohexanol)",Dopamine application increased cAMP levels (G-Flamp1) but did not increase Ca2+ levels (GCaMP7b). Nicotine application increased GRAB-DA2 signals indicating dopamine release near ORN terminals. Odor pulses did not elicit measurable GRAB-DA2 signals.,None tested,Not explicitly tested in this study,"['Two-photon functional imaging', 'Structural imaging (confocal microscopy)', 'GRAB-DA2 imaging']","ORNs express DopEcR and Dop1R1. Exogenous dopamine increases cAMP but not Ca2+ in ORNs. Nicotine induces dopamine release near ORNs, but odors do not."
0f3380db5f3d5af79db860ef5d43c541285a444d,Differential dopaminergic modulation of the antennal lobe of Drosophila melanogaster,"Excitatory Projection Neurons (ePNs, GH146-labeled)",experimental,qwen3.5:35b,"Dopamine (1 mM), Odors (Isoamyl-acetate, 3-Octanol, 4-methylcyclohexanol)","Dopamine application increased cAMP and Ca2+ levels. Dopamine enhanced odor responses in glomeruli DL3, DL1, and DL5 (integral) and peak responses in DL1 and DL5. Dopamine reduced temporal sharpness in DL1, DL5, and DM3. Knockdown of TH in OK371-Gal4 neurons reduced DL1 odor response and increased sharpness.",None tested,Not explicitly tested in this study,"['Two-photon functional imaging', 'TH-miRNA knockdown']",ePNs express all four DopRs. Dopamine application differentially enhances odor-evoked Ca2+ responses and reduces response sharpness in specific glomeruli. Endogenous dopamine from OK371-Gal4 neurons modulates these responses.
0f3380db5f3d5af79db860ef5d43c541285a444d,Differential dopaminergic modulation of the antennal lobe of Drosophila melanogaster,"Inhibitory Local Neurons (iLNs, R29A12-LexA labeled)",experimental,qwen3.5:35b,"Dopamine (1 mM), Nicotine (100 µM), Odors",Dopamine application increased cAMP levels but did not increase Ca2+ levels. Nicotine application increased GRAB-DA2 signals indicating dopamine release near iLN processes. Odor pulses did not elicit measurable GRAB-DA2 signals.,None tested,Not explicitly tested in this study,"['Two-photon functional imaging', 'GRAB-DA2 imaging']","iLNs express DopEcR, Dop1R1, and Dop2R. Exogenous dopamine increases cAMP but not Ca2+. Nicotine induces dopamine release near iLNs, but odors do not."
0f3380db5f3d5af79db860ef5d43c541285a444d,Differential dopaminergic modulation of the antennal lobe of Drosophila melanogaster,"TH+ AL-Innervating Neurons (SIFa, DNp32, CSD)",experimental,qwen3.5:35b,"Nicotine (100 µM), ATP (1 mM via P2X2 activation)","SIFa, DNp32, and TH-Gal4/OK371-Gal4 labeled neurons were identified as TH+ and innervating the AL. Activation of TH-Gal4 or OK371-Gal4 neurons (P2X2) increased GRAB-DA2 signals in the AL. Activation of Vmat-Gal4 (CSD neuron) did not significantly affect GRAB-DA2 signals. Nicotine application increased GRAB-DA2 signals in the AL.",None tested,Not explicitly tested in this study,"['Confocal microscopy', 'NeuronBridge analysis', 'Two-photon functional imaging', 'GRAB-DA2 imaging']","Multiple TH+ cell types (SIFa, DNp32, CSD) innervate the AL. Activation of TH-Gal4 and OK371-Gal4 neurons releases dopamine in the AL, while CSD neuron activation did not."
0f3380db5f3d5af79db860ef5d43c541285a444d,Differential dopaminergic modulation of the antennal lobe of Drosophila melanogaster,"Ventrolateral Local Neurons (vLNs, OK371-Gal4 labeled)",experimental,qwen3.5:35b,"ATP (1 mM via P2X2 activation), Odors",OK371-Gal4 labels ~3 TH+ vLNs per lobe in the ventrolateral cluster. Activation of these neurons increased GRAB-DA2 signals in the AL. Knockdown of TH in these neurons reduced DL1 ePN responses to IAA and increased temporal sharpness.,None tested,Not explicitly tested in this study,"['Confocal microscopy', 'Two-photon functional imaging', 'GRAB-DA2 imaging', 'TH-miRNA knockdown']","A subset of glutamatergic vLNs (OK371-Gal4) express TH. Activation of these neurons releases dopamine in the AL, and reducing their dopamine synthesis alters ePN odor responses."
22ca66788d5a0465701ce68356491050c789e15f,Sensory processing reformats odor coding around valence and dynamics,Projection Neurons (PNs),experimental,qwen3.5:35b,"12 odors including ACV, benzaldehyde, ethyl acetate, acetic acid, and neutralized ACV","In vivo 2-photon calcium imaging (GCaMP6f) revealed responses organized by valence; some PNs had positive covariance with behavioral preference (attraction), others negative (aversion). Responses were mostly sustained with little adaptation.",Population activity vectors correlated with innate behavioral valence (preference index). No direct neuronal activation/inactivation tested.,"Innate odor valence drives feeding, mating, and avoiding danger.","['two-photon calcium imaging', 'behavioral place-preference assay']","PNs encode odor identity and valence, with connectivity shaping downstream LHN input."
22ca66788d5a0465701ce68356491050c789e15f,Sensory processing reformats odor coding around valence and dynamics,DM1 Projection Neurons,experimental,qwen3.5:35b,"12 odors, including ACV",Strongest positive valence association of any PN. Major source of cascaded local inhibition onto LHNs via Local Inhibitory LHNs (LHLNs).,Correlates with odor attraction in behavior assays.,"Supports attraction behaviors (e.g., feeding).","['two-photon calcium imaging', 'connectome analysis']",DM1 PNs encode strong positive valence and exert widespread inhibition on LHNs with distinct valence.
22ca66788d5a0465701ce68356491050c789e15f,Sensory processing reformats odor coding around valence and dynamics,DP1m Projection Neurons,experimental,qwen3.5:35b,"12 odors, ACV variants (acid vs ester)",Acid-responsive glomeruli. Respond robustly to ACV. Provide input to appetitive LHNs.,Correlates with positive valence coding in downstream LHNs.,Senses acidic components of natural odor mixtures.,"['two-photon calcium imaging', 'pharmacological neutralization']",DP1m PNs respond to acid components and drive ACV-selective LHN responses.
22ca66788d5a0465701ce68356491050c789e15f,Sensory processing reformats odor coding around valence and dynamics,Lateral Horn Neurons (LHNs),experimental,qwen3.5:35b,"12 odors, ACV variants, 2s vs 10s odor pulses","GCaMP6f imaging showed LHNs reformat PN activity into segregated valence channels (Channel 1: appetitive, Channel 2: aversive). Dynamics split into sustained and transient types. GABA blockade altered tuning in specific types.",Activity correlates with innate odor valence. No direct neuronal activation/inactivation tested.,Valence segregation supports innate behavioral responses; dynamics allow regulation of different motor programs.,"['two-photon calcium imaging', 'GABA receptor blockade', 'connectome analysis']",LHNs transform combinatorial PN codes into segregated valence channels and orthogonal temporal dynamics.
